number;title;kp_rating;imbd_rating;year;url;_utc_timestamp
75;Офицеры;8.452;7.7;1971;https://www.kinopoisk.ru/film/42736;2020-01-03 11:24:11
25;Отступники;8.455;8.5;2006;https://www.kinopoisk.ru/film/81314;2020-01-03 11:24:11
347;Отпетые мошенники;7.985;7.4;1988;https://www.kinopoisk.ru/film/9208;2020-01-03 11:24:19
171;Отец солдата;8.24;8.7;1964;https://www.kinopoisk.ru/film/44218;2020-01-03 11:24:11
327;Отель «Руанда»;7.847;8.1;2004;https://www.kinopoisk.ru/film/77859;2020-01-03 11:24:19
358;Отель «Гранд Будапешт»;7.869;8.1;2014;https://www.kinopoisk.ru/film/683999;2020-01-03 11:24:19
423;Отверженные;7.901;7.6;2012;https://www.kinopoisk.ru/film/566055;2020-01-03 11:24:27
454;Остров собак;8.094;7.9;2018;https://www.kinopoisk.ru/film/939785;2020-01-03 11:24:27
37;Остров проклятых;8.493;8.1;2009;https://www.kinopoisk.ru/film/397667;2020-01-03 11:24:11
402;Остров;7.89;7.9;2006;https://www.kinopoisk.ru/film/257337;2020-01-03 11:24:27
375;Осенняя соната;7.974;8.3;1978;https://www.kinopoisk.ru/film/924;2020-01-03 11:24:19
438;Осенний марафон;8.0;7.9;1979;https://www.kinopoisk.ru/film/42799;2020-01-03 11:24:27
397;Освобождение: Прорыв;8.179;7.2;1969;https://www.kinopoisk.ru/film/392539;2020-01-03 11:24:19
313;Освобождение: Последний штурм;8.182;7.3;1971;https://www.kinopoisk.ru/film/392541;2020-01-03 11:24:19
409;Освобождение: Огненная дуга;8.176;7.2;1968;https://www.kinopoisk.ru/film/94296;2020-01-03 11:24:27
434;Освобождение: Направление главного удара;8.115;7.7;1970;https://www.kinopoisk.ru/film/46318;2020-01-03 11:24:27
318;Освобождение: Битва за Берлин;8.184;7.2;1971;https://www.kinopoisk.ru/film/392540;2020-01-03 11:24:19
15;Операция «Ы» и другие приключения Шурика;8.712;8.6;1965;https://www.kinopoisk.ru/film/42782;2020-01-03 11:24:11
100;Они сражались за Родину;8.377;8.0;1975;https://www.kinopoisk.ru/film/42770;2020-01-03 11:24:11
436;Олдбой;8.099;8.4;2003;https://www.kinopoisk.ru/film/75871;2020-01-03 11:24:27
185;Октябрьское небо;8.025;7.8;1999;https://www.kinopoisk.ru/film/2056;2020-01-03 11:24:11
257;Окно во двор;8.033;8.4;1954;https://www.kinopoisk.ru/film/337;2020-01-03 11:24:19
295;Однажды на Диком Западе;8.035;8.5;1968;https://www.kinopoisk.ru/film/376;2020-01-03 11:24:19
323;Однажды двадцать лет спустя;8.01;7.3;1980;https://www.kinopoisk.ru/film/25082;2020-01-03 11:24:19
86;Однажды в Америке;8.274;8.4;1983;https://www.kinopoisk.ru/film/469;2020-01-03 11:24:11
113;Одиннадцать друзей Оушена;8.094;7.8;2001;https://www.kinopoisk.ru/film/770;2020-01-03 11:24:11
116;Один дома;8.232;7.6;1990;https://www.kinopoisk.ru/film/8124;2020-01-03 11:24:11
68;Одержимость;8.328;8.5;2013;https://www.kinopoisk.ru/film/725190;2020-01-03 11:24:11
416;Одержимость;7.856;7.0;2004;https://www.kinopoisk.ru/film/23737;2020-01-03 11:24:27
345;Огни рампы;8.069;8.1;1952;https://www.kinopoisk.ru/film/2113;2020-01-03 11:24:19
46;Огни большого города;8.507;8.5;1931;https://www.kinopoisk.ru/film/414;2020-01-03 11:24:11
267;Обыкновенное чудо  (ТВ);8.209;8.3;1978;https://www.kinopoisk.ru/film/77282;2020-01-03 11:24:19
111;Общество мертвых поэтов;8.213;8.1;1989;https://www.kinopoisk.ru/film/4996;2020-01-03 11:24:11
442;Области тьмы;7.981;7.4;2011;https://www.kinopoisk.ru/film/462606;2020-01-03 11:24:27
159;Нюрнбергский процесс;8.12;8.2;1961;https://www.kinopoisk.ru/film/13738;2020-01-03 11:24:11
268;Ночи Кабирии;8.021;8.1;1957;https://www.kinopoisk.ru/film/63929;2020-01-03 11:24:19
62;Нокдаун;8.203;8.0;2005;https://www.kinopoisk.ru/film/12244;2020-01-03 11:24:11
192;Новый кинотеатр «Парадизо»;7.959;8.5;1988;https://www.kinopoisk.ru/film/424;2020-01-03 11:24:11
123;Новые времена;8.102;8.5;1936;https://www.kinopoisk.ru/film/408;2020-01-03 11:24:11
479;Непрощенный;7.848;8.2;1992;https://www.kinopoisk.ru/film/451;2020-01-03 11:24:27
446;Невозможное;7.901;7.6;2012;https://www.kinopoisk.ru/film/518037;2020-01-03 11:24:27
374;Невидимые дети;7.853;7.5;2005;https://www.kinopoisk.ru/film/81542;2020-01-03 11:24:19
124;Невидимая сторона;8.149;7.6;2009;https://www.kinopoisk.ru/film/450213;2020-01-03 11:24:11
